iata,type,name_en,iana timezone
NGR,city,Ningerum,Pacific/Port_Moresby
NGR,airport,Ningerum,Pacific/Port_Moresby
NIS,city,Simberi Island,Pacific/Port_Moresby
NIS,airport,Simberi,Pacific/Port_Moresby
NKN,city,Nankina,Pacific/Port_Moresby
NKN,airport,Nankina,Pacific/Port_Moresby
NLF,city,Darnley Island,Pacific/Port_Moresby
NLF,airport,Darnley Island,Pacific/Port_Moresby
NMN,city,Nomane,Pacific/Port_Moresby
NMN,airport,Nomane,Pacific/Port_Moresby
NOM,city,Nomad River,Pacific/Port_Moresby
NOM,airport,Nomad River,Pacific/Port_Moresby
NOO,city,Naoro,Pacific/Port_Moresby
